Titre;Prix;Lien;Source;Annonce-Detectee;Annonce-Deposee;Marque;Modèle;Année;Kilométrage;Boite_Vitesse;Energie;Localisation;Puissance_Fiscale;Etat_Vehicule;Statut;Description;Options;Nb_Options;Transmission;Date_Reference_Annonce;Age_Annonce_Jours
BMW Série 5;67250.0;https://www.automobile.tn/fr/occasion/bmw/serie-5/125278;automobile.tn;2026-07-13;2026-07-12;Bmw;Série 5;2017.0;250000.0;;Essence;Tunis;9.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz Classe C coupé AMG 200 2.0 i 16V 9G-TRONIC 184 cv Boîte auto;137000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c-coupe/126503;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;Classe C coupé;2019.0;115000.0;Automatique;Essence;Tunis;10.0;;;;;;Traction;2026-07-12;33
Land Rover Range Rover Evoque R-Dynamic 2.0 TD4 16V DPF 4WD BVA9 180 cv Boîte auto;87000.0;https://www.automobile.tn/fr/occasion/land-rover/range-rover-evoque/106073;automobile.tn;2026-07-13;2026-07-12;Land Rover;Range Rover Evoque;2017.0;165000.0;Automatique;Diesel;Tunis;10.0;;;;;;Intégrale;2026-07-12;33
Mercedes-Benz Classe E Avantgarde 200 CDi 2.1 CDI 16V DPF BlueEFFICIENCY 7G-TRONIC 136 cv Boîte auto;64500.0;https://www.automobile.tn/fr/occasion/mercedes-benz/classe-e/125850;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;Classe E;2012.0;183000.0;Automatique;Diesel;Tunis;8.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz Classe A 250 e 1.3 Ti 16V 218 PHEV 8G-DCT 158 cv Boîte auto;109000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/115444;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;Classe A;2021.0;80000.0;Automatique;Hybride rechargeable essence;Nabeul;8.0;;;;;;Traction;2026-07-12;33
KIA Rio 5p GT-Line 1.2 i-CVVT 16V ISG 84 cv;49500.0;https://www.automobile.tn/fr/occasion/kia/rio-5p/124345;automobile.tn;2026-07-13;2026-07-12;Kia;Rio 5p;2021.0;160000.0;;Essence;Tunis;5.0;;;;;;Traction;2026-07-12;33
Peugeot 2008;55000.0;https://www.automobile.tn/fr/occasion/peugeot/2008/128255;automobile.tn;2026-07-13;2026-07-12;Peugeot;2008;2019.0;139000.0;;Essence;Nabeul;7.0;;;;;;Intégrale;2026-07-12;33
Jeep Renegade Longitude 1.6 e.Torq 16V 2WD S&S 110 cv;46800.0;https://www.automobile.tn/fr/occasion/jeep/renegade/127778;automobile.tn;2026-07-13;2026-07-12;Jeep;Renegade;2016.0;144000.0;;Essence;Tunis;6.0;;;;;;Traction;2026-07-12;33
Audi E-tron GT 60 Quattro 476 cv;270000.0;https://www.automobile.tn/fr/occasion/audi/e-tron-gt/123830;automobile.tn;2026-07-13;2026-07-12;Audi;E-tron GT;2024.0;28000.0;;Electrique;Tunis;10.0;;;;;;Intégrale;2026-07-12;33
Audi A5 Sportback Design Luxe 35 1.4 TFSI S-tronic 150 cv Boîte auto;78000.0;https://www.automobile.tn/fr/occasion/audi/a5-sportback/127386;automobile.tn;2026-07-13;2026-07-12;Audi;A5 Sportback;2020.0;178000.0;Automatique;Essence;Tunis;8.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz ML AMG;72000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/ml/126448;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;ML;2016.0;300000.0;;Diesel;Tunis;12.0;;;;;;Traction;2026-07-12;33
Ford Mustang 5.0 i V8 32V 418 cv Boîte auto;155000.0;https://www.automobile.tn/fr/occasion/ford/mustang/123986;automobile.tn;2026-07-13;2026-07-12;Ford;Mustang;2015.0;39000.0;Automatique;Essence;Tunis;;;;;;;Traction;2026-07-12;33
Jaguar XF Pure 2.0 Ti 16V 250 cv Boîte auto;98000.0;https://www.automobile.tn/fr/occasion/jaguar/xf/112085;automobile.tn;2026-07-13;2026-07-12;Jaguar;XF;2017.0;46000.0;Automatique;Essence;Tunis;15.0;;;;;;Propulsion;2026-07-12;33
Porsche Cayenne E-Hybrid E-Hybrid 3.0 V6 24V 461 AWD 340 cv boite auto;230000.0;https://www.automobile.tn/fr/occasion/porsche/cayenne/125676;automobile.tn;2026-07-13;2026-07-12;Porsche;Cayenne;2019.0;43000.0;Automatique;Hybride rechargeable essence;Tunis;21.0;;;;;;Intégrale;2026-07-12;33
Land Rover Range Rover Sport Autobiography P400e 2.0 16V 404 Hybrid 300 cv Boîte auto;195000.0;https://www.automobile.tn/fr/occasion/land-rover/range-rover-sport/126346;automobile.tn;2026-07-13;2026-07-12;Land Rover;Range Rover Sport;2020.0;105000.0;Automatique;Hybride rechargeable essence;Tunis;19.0;;;;;;Intégrale;2026-07-12;33
Land Rover Range Rover Evoque Dynamic 2.0 Si4 16V 4WD BVA9 240 cv Boîte auto;59800.0;https://www.automobile.tn/fr/occasion/land-rover/range-rover-evoque/126347;automobile.tn;2026-07-13;2026-07-12;Land Rover;Range Rover Evoque;2012.0;170000.0;Automatique;Essence;Tunis;15.0;;;;;;Intégrale;2026-07-12;33
Fiat 500 Dolcevita 1.0 BSG 12V Mhd 69 cv;55000.0;https://www.automobile.tn/fr/occasion/fiat/500/125110;automobile.tn;2026-07-13;2026-07-12;Fiat;500;2020.0;21000.0;;Hybride léger essence;Tunis;4.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz GLE AMG 300 d 2.0 d 16V 4MATIC 9G-TRONIC 245 cv Boîte auto;255000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/gle/126383;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;GLE;2021.0;70000.0;Automatique;Diesel;Tunis;15.0;;;;;;Intégrale;2026-07-12;33
Porsche Cayenne Black Edition Turbo 4.8 DFI V8-540 AWD 32V Tiptronic S 540 cv Boîte auto;104000.0;https://www.automobile.tn/fr/occasion/porsche/cayenne/125190;automobile.tn;2026-07-13;2026-07-12;Porsche;Cayenne;2010.0;187000.0;Automatique;Essence;Tunis;;;;;;;Intégrale;2026-07-12;33
BMW Série 5 Business Line 520i 1.6i 16V 170 cv Boîte auto;51000.0;https://www.automobile.tn/fr/occasion/bmw/serie-5/127046;automobile.tn;2026-07-13;2026-07-12;Bmw;Série 5;2014.0;240000.0;Automatique;Essence;Tunis;9.0;;;;;;Traction;2026-07-12;33
Seat Ateca FR 1.4 L TSI 150 cv Boîte auto;114000.0;https://www.automobile.tn/fr/occasion/seat/ateca/127025;automobile.tn;2026-07-13;2026-07-12;Seat;Ateca;2024.0;37000.0;Automatique;Essence;Tunis;8.0;;;;;;Traction;2026-07-12;33
Audi Q3 Advanced 35 TFSI S-tronic 150 cv Boîte auto;88000.0;https://www.automobile.tn/fr/occasion/audi/q3/127089;automobile.tn;2026-07-13;2026-07-12;Audi;Q3;2021.0;160000.0;Automatique;Essence;Tunis;9.0;;;;;;Traction;2026-07-12;33
Land Rover Range Rover Sport Autobiography P400e 2.0 16V 404 Hybrid 300 cv Boîte auto;195000.0;https://www.automobile.tn/fr/occasion/land-rover/range-rover-sport/127342;automobile.tn;2026-07-13;2026-07-12;Land Rover;Range Rover Sport;2019.0;110000.0;Automatique;Hybride rechargeable essence;Tunis;19.0;;;;;;Intégrale;2026-07-12;33
Porsche 718 Cayman;290000.0;https://www.automobile.tn/fr/occasion/porsche/718-cayman/124211;automobile.tn;2026-07-13;2026-07-12;Porsche;718 Cayman;2022.0;18000.0;;Essence;Tunis;19.0;;;;;;Propulsion;2026-07-12;33
Fiat 500 Lounge 1.2 L 69 cv Boîte auto;40500.0;https://www.automobile.tn/fr/occasion/fiat/500/127592;automobile.tn;2026-07-13;2026-07-12;Fiat;500;2017.0;78000.0;Automatique;Essence;Tunis;4.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz CLS;129000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/cls/127739;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;CLS;2016.0;66000.0;;Diesel;Tunis;11.0;;;;;;Traction;2026-07-12;33
Land Rover Range Rover Sport Autobiography 3.0 SDV6 24V 306 cv Boîte auto;120000.0;https://www.automobile.tn/fr/occasion/land-rover/range-rover-sport/127392;automobile.tn;2026-07-13;2026-07-12;Land Rover;Range Rover Sport;2018.0;140000.0;Automatique;Diesel;Tunis;16.0;;;;;;Traction;2026-07-12;33
Fiat 500 1.2 L 69 cv Boîte auto;44000.0;https://www.automobile.tn/fr/occasion/fiat/500/127393;automobile.tn;2026-07-13;2026-07-12;Fiat;500;2021.0;63000.0;Automatique;Essence;Tunis;4.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz Classe A Progressive 180 1.3 Ti 16V 7G-DCT 136 cv Boîte auto;92000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/126949;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;Classe A;2022.0;100000.0;Automatique;Essence;Sousse;7.0;;;;;;Traction;2026-07-12;33
Land Rover Range Rover Evoque R-Dynamic HSE;169000.0;https://www.automobile.tn/fr/occasion/land-rover/range-rover-evoque/117303;automobile.tn;2026-07-13;2026-07-12;Land Rover;Range Rover Evoque;2022.0;98000.0;;Hybride rechargeable essence;Nabeul;11.0;;;;;;Traction;2026-07-12;33
Audi A3 Sportback S-Line;79500.0;https://www.automobile.tn/fr/occasion/audi/a3-sportback/119694;automobile.tn;2026-07-13;2026-07-12;Audi;A3 Sportback;2021.0;170000.0;;Diesel;Nabeul;6.0;;;;;;Traction;2026-07-12;33
Audi A3 Sportback S-Line 40 1.4 TFSIe 16V 204 Plug in Hybrid S Tronic6 150 cv Boîte auto;119000.0;https://www.automobile.tn/fr/occasion/audi/a3-sportback/120278;automobile.tn;2026-07-13;2026-07-12;Audi;A3 Sportback;2022.0;98000.0;Automatique;Hybride rechargeable essence;Nabeul;8.0;;;;;;Traction;2026-07-12;33
Seat Leon Style 1.2 TSI 16V DSG7 S&S 105 cv Boîte auto;39000.0;https://www.automobile.tn/fr/occasion/seat/leon/128266;automobile.tn;2026-07-13;2026-07-12;Seat;Leon;2014.0;225000.0;Automatique;Essence;Tunis;6.0;;;;;;Traction;2026-07-12;33
KIA Sportage 1.6 GDi CVVT 16V 4x2 132 cv Boite Auto;79000.0;https://www.automobile.tn/fr/occasion/kia/sportage/123737;automobile.tn;2026-07-13;2026-07-13;Kia;Sportage;2020.0;112000.0;Automatique;Essence;Ben Arous;8.0;;;;;;Traction;2026-07-13;32
Jeep Wrangler Unlimited Raidtrail 2.2 Multijet 16V 4WD S&S 200 cv Boîte auto;205000.0;https://www.automobile.tn/fr/occasion/jeep/wrangler-unlimited/123742;automobile.tn;2026-07-13;2026-07-13;Jeep;Wrangler Unlimited;2019.0;90000.0;Automatique;Diesel;Ben Arous;10.0;;;;;;Intégrale;2026-07-13;32
Land Rover Range Rover Sport 2.0 SD4 16V 240 cv Boîte auto;195000.0;https://www.automobile.tn/fr/occasion/land-rover/range-rover-sport/123743;automobile.tn;2026-07-13;2026-07-13;Land Rover;Range Rover Sport;2018.0;95000.0;Automatique;Diesel;Ben Arous;16.0;;;;;;Intégrale;2026-07-13;32
Mercedes-Benz EQS Berline AMG 450+ 333 cv Boîte Auto;297000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/eqs-berline/123745;automobile.tn;2026-07-13;2026-07-13;Mercedes-Benz;EQS Berline;2023.0;5000.0;Automatique;Electrique;Ben Arous;8.0;;;;;;Propulsion;2026-07-13;32
Audi E-tron Sportback 50 Quattro 313 cv;143000.0;https://www.automobile.tn/fr/occasion/audi/e-tron-sportback/123746;automobile.tn;2026-07-13;2026-07-13;Audi;E-tron Sportback;2020.0;54000.0;;Electrique;Ben Arous;8.0;;;;;;Intégrale;2026-07-13;32
Mercedes-Benz CLA AMG 180 d 1.5 d 8V 7G-DCT 116 cv Boîte auto;117000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/cla/123747;automobile.tn;2026-07-13;2026-07-13;Mercedes-Benz;CLA;2021.0;160000.0;Automatique;Diesel;Bizerte;7.0;;;;;;Traction;2026-07-13;32
Peugeot 2008;68000.0;https://www.automobile.tn/fr/occasion/peugeot/2008/123756;automobile.tn;2026-07-13;2026-07-13;Peugeot;2008;2021.0;65000.0;;Essence;Ben Arous;6.0;;;;;;Traction;2026-07-13;32
Chevrolet Captiva 5 places 1.5 Turbo CVT 147 cv Boîte auto;87500.0;https://www.automobile.tn/fr/occasion/chevrolet/captiva/123757;automobile.tn;2026-07-13;2026-07-13;Chevrolet;Captiva;2024.0;16000.0;Automatique;Essence;Ben Arous;9.0;;;;;;Traction;2026-07-13;32
Hyundai Tucson Top Grade 1.6 CRDi 16V Mild Hybrid 4WD DCT7 S&S 136 cv Boîte auto;117000.0;https://www.automobile.tn/fr/occasion/hyundai/tucson/123760;automobile.tn;2026-07-13;2026-07-13;Hyundai;Tucson;2021.0;75000.0;Automatique;Hybride léger diesel;Ben Arous;8.0;;;;;;Intégrale;2026-07-13;32
BMW Série 5 Business Line 520d 2.0 d DPF 16V EfficientDynamics Edition 184 cv;60000.0;https://www.automobile.tn/fr/occasion/bmw/serie-5/123836;automobile.tn;2026-07-13;2026-07-13;Bmw;Série 5;2011.0;280000.0;;Diesel;Ben Arous;10.0;;;;;;Propulsion;2026-07-13;32
Peugeot 208 Pack Edition 1.2 PureTech 12V EAT8 S&S 130 cv Boîte auto;49000.0;https://www.automobile.tn/fr/occasion/peugeot/208/123865;automobile.tn;2026-07-13;2026-07-13;Peugeot;208;2021.0;60000.0;Automatique;Essence;Ben Arous;6.0;;;;;;Traction;2026-07-13;32
KIA Sportage 1.6 CRDi VGT 16V 4x4 DCT7 136 cv Boîte auto;82000.0;https://www.automobile.tn/fr/occasion/kia/sportage/123866;automobile.tn;2026-07-13;2026-07-13;Kia;Sportage;2020.0;129000.0;Automatique;Diesel;Ben Arous;8.0;;;;;;Intégrale;2026-07-13;32
MG e-HS Luxury Plus 1.5 T-GDI 16V 258 Plug in Hybrid 162 cv Boîte auto;109000.0;https://www.automobile.tn/fr/occasion/mg/ehs/123879;automobile.tn;2026-07-13;2026-07-13;Mg;e-HS;2023.0;50000.0;Automatique;Hybride rechargeable essence;Ben Arous;7.0;;;;;;Traction;2026-07-13;32
MG e-HS Luxury Plus 1.5 T-GDI 16V 258 Plug in Hybrid 162 cv Boîte auto;109000.0;https://www.automobile.tn/fr/occasion/mg/ehs/123880;automobile.tn;2026-07-13;2026-07-13;Mg;e-HS;2023.0;60000.0;Automatique;Hybride rechargeable essence;Ben Arous;7.0;;;;;;Traction;2026-07-13;32
Land Rover Range Rover Evoque Dynamic 2.2 SD4 16V DPF 4WD BVA9 190 cv Boîte auto;77000.0;https://www.automobile.tn/fr/occasion/land-rover/range-rover-evoque/123926;automobile.tn;2026-07-13;2026-07-13;Land Rover;Range Rover Evoque;2015.0;124000.0;Automatique;Diesel;Ben Arous;11.0;;;;;;Intégrale;2026-07-13;32
Land Rover Discovery 2.0 Sd4 16V 4WD 240 cv Boîte auto;125000.0;https://www.automobile.tn/fr/occasion/land-rover/discovery/124855;automobile.tn;2026-07-13;2026-07-13;Land Rover;Discovery;2018.0;220000.0;Automatique;Diesel;Ben Arous;10.0;;;;;;Intégrale;2026-07-13;32
Chery Tiggo 8 Pro 1.6 T-GDI 7-DCT 197 cv Boîte auto;95000.0;https://www.automobile.tn/fr/occasion/chery/tiggo-8-pro/125158;automobile.tn;2026-07-13;2026-07-13;Chery;Tiggo 8 Pro;2023.0;30000.0;Automatique;Essence;Ben Arous;11.0;;;;;;Traction;2026-07-13;32
Land Rover Range Rover Evoque;90000.0;https://www.automobile.tn/fr/occasion/land-rover/range-rover-evoque/125199;automobile.tn;2026-07-13;2026-07-13;Land Rover;Range Rover Evoque;2016.0;90000.0;;Diesel;Ben Arous;8.0;;;;;;Traction;2026-07-13;32
Toyota Corolla Business 1.2 T 16V CVT 116 cv Boîte auto;64000.0;https://www.automobile.tn/fr/occasion/toyota/corolla-5p/125726;automobile.tn;2026-07-13;2026-07-13;Toyota;Corolla;2022.0;111000.0;Automatique;Essence;Ben Arous;6.0;;;;;;Traction;2026-07-13;32
Mercedes-Benz Classe C AMG + 180 1.5 i 16V EQ Boost 9G-TRONIC 170 cv Boîte auto;197000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c/125754;automobile.tn;2026-07-13;2026-07-13;Mercedes-Benz;Classe C;2022.0;35000.0;Automatique;Hybride léger essence;Ben Arous;10.0;;;;;;Propulsion;2026-07-13;32
Seat Tarraco Xcellence 1.4 TSI 16V GPF 4x2 DSG7 S&S 150 cv Boîte auto;117900.0;https://www.automobile.tn/fr/occasion/seat/tarraco/128265;automobile.tn;2026-07-13;2026-07-12;Seat;Tarraco;2023.0;87500.0;Automatique;Essence;Ariana;9.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz GLE AMG 53 AMG 3.0 Ti 24V 544 EQ Power 4MATIC+ 9G-TRONIC 449 cv Boîte auto;425000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/gle/128061;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;GLE;2025.0;25500.0;Automatique;Hybride rechargeable essence;Tunis;;;;;;;Intégrale;2026-07-12;33
Peugeot 3008 Allure 1.2 THP Puretech 12V EAT6 S&S 130 cv Boîte auto;63000.0;https://www.automobile.tn/fr/occasion/peugeot/3008/123562;automobile.tn;2026-07-13;2026-07-12;Peugeot;3008;2020.0;56000.0;Automatique;Essence;Tunis;7.0;;;;;;Traction;2026-07-12;33
Skoda Octavia Ambition;48000.0;https://www.automobile.tn/fr/occasion/skoda/octavia/127540;automobile.tn;2026-07-13;2026-07-12;Škoda;Octavia;2018.0;130000.0;;Essence;Ben Arous;8.0;;;;;;Traction;2026-07-12;33
Volkswagen Golf 8;73500.0;https://www.automobile.tn/fr/occasion/volkswagen/golf-8/120279;automobile.tn;2026-07-13;2026-07-12;Volkswagen;Golf 8;2021.0;153000.0;;Essence;Nabeul;6.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz Classe A;53000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/127578;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;Classe A;2018.0;270000.0;;Essence;Nabeul;6.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz GLA AMG 250e 1.3 i 16V 218 EQ Power 8G-DCT 158 cv Boîte auto;137000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/gla/127720;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;GLA;2022.0;80000.0;Automatique;Hybride rechargeable essence;Nabeul;8.0;;;;;;Traction;2026-07-12;33
Volkswagen Tiguan;119000.0;https://www.automobile.tn/fr/occasion/volkswagen/tiguan/128128;automobile.tn;2026-07-13;2026-07-12;Volkswagen;Tiguan;2023.0;80000.0;;Hybride rechargeable essence;Nabeul;8.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz CLA AMG 250 e 1.3 i 16V GPF 218 PHEV 160 cv Boîte auto;113000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/cla/128211;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;CLA;2022.0;120000.0;Automatique;Hybride rechargeable essence;Nabeul;8.0;;;;;;Traction;2026-07-12;33
Renault Kadjar Intens Tce 130 cv Boite Auto;65000.0;https://www.automobile.tn/fr/occasion/renault/kadjar/127213;automobile.tn;2026-07-13;2026-07-12;Renault;Kadjar;2018.0;115000.0;Automatique;Essence;Mahdia;7.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz Classe A AMG PREMIUM PLUS 180 1.3 Ti 16V 7G-DCT 136 cv Boîte auto;103000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/122339;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;Classe A;2020.0;114000.0;Automatique;Essence;Tunis;7.0;;;;;;Propulsion;2026-07-12;33
Volkswagen Polo Passion 1.0 i 12V 75 cv;48500.0;https://www.automobile.tn/fr/occasion/volkswagen/polo/127377;automobile.tn;2026-07-13;2026-07-12;Volkswagen;Polo;2019.0;70000.0;;Essence;Sfax;4.0;;;;;;Traction;2026-07-12;33
Ford Fiesta Titanium 1.25 i 16V 82 cv;27500.0;https://www.automobile.tn/fr/occasion/ford/fiesta/128262;automobile.tn;2026-07-13;2026-07-12;Ford;Fiesta;2012.0;261200.0;;Essence;Médenine;5.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz GLC;239000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/glc/127812;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;GLC;2023.0;69000.0;;Hybride rechargeable essence;Sousse;15.0;;;;;;Traction;2026-07-12;33
Land Rover Range Rover Velar R-Dynamic SE P400e 2.0 i 16V 404 PHEV AWD 300 cv Boîte auto;305000.0;https://www.automobile.tn/fr/occasion/land-rover/range-rover-velar/127977;automobile.tn;2026-07-13;2026-07-07;Land Rover;Range Rover Velar;2022.0;124050.0;Automatique;Hybride rechargeable essence;Gabès;19.0;;;;;;Intégrale;2026-07-07;38
Land Rover Range Rover Velar P400e 2.0 i 16V 404 PHEV AWD 300 cv Boîte auto;185000.0;https://www.automobile.tn/fr/occasion/land-rover/range-rover-velar/127814;automobile.tn;2026-07-13;2026-07-12;Land Rover;Range Rover Velar;2022.0;95000.0;Automatique;Hybride rechargeable essence;Sousse;19.0;;;;;;Intégrale;2026-07-12;33
BMW Série 5 Pack M 520i 1.6 i 16V Steptronic8 170 cv Boîte auto;105000.0;https://www.automobile.tn/fr/occasion/bmw/serie-5/126846;automobile.tn;2026-07-13;2026-07-12;Bmw;Série 5;2017.0;120000.0;Automatique;Essence;Tunis;10.0;;;;;;Propulsion;2026-07-12;33
Chery Tiggo 8 Pro 1.6 T-GDI 7-DCT 197 cv Boîte auto;85000.0;https://www.automobile.tn/fr/occasion/chery/tiggo-8-pro/127031;automobile.tn;2026-07-13;2026-07-12;Chery;Tiggo 8 Pro;2023.0;49000.0;Automatique;Essence;Gafsa;11.0;;;;;;Traction;2026-07-12;33
Fiat Doblo Van Club 1.6 L HDI 92 cv;58000.0;https://www.automobile.tn/fr/occasion/fiat/doblo/128239;automobile.tn;2026-07-13;2026-07-12;Fiat;Doblo;2025.0;12000.0;;Diesel;Gafsa;5.0;;;;;;Traction;2026-07-12;33
Hyundai Grand i10 GLS HG 1.2 87cv;35700.0;https://www.automobile.tn/fr/occasion/hyundai/grand-i10/128263;automobile.tn;2026-07-13;2026-07-12;Hyundai;Grand i10;2017.0;123196.0;;Essence;Ben Arous;5.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz Classe C 200 CDi 2.1 CDI 16V 136 cv Boîte auto;39500.0;https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c/123608;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;Classe C;2009.0;227000.0;Automatique;Diesel;Tunis;7.0;;;;;;Traction;2026-07-12;33
Hyundai i20 GLS 1.2 i 16V 84 cv;41000.0;https://www.automobile.tn/fr/occasion/hyundai/i20/119227;automobile.tn;2026-07-13;2026-07-12;Hyundai;i20;2018.0;92000.0;;Essence;Tunis;5.0;;;;;;Traction;2026-07-12;33
Porsche Macan 3.0 V6 24V AWD PDK 340 cv Boîte auto;155000.0;https://www.automobile.tn/fr/occasion/porsche/macan/124145;automobile.tn;2026-07-13;2026-07-12;Porsche;Macan;2016.0;113000.0;Automatique;Essence;Tunis;23.0;;;;;;Intégrale;2026-07-12;33
Toyota C-HR 1.2 T 16V 2WD CVT 116 cv Boîte auto;65000.0;https://www.automobile.tn/fr/occasion/toyota/c-hr/119520;automobile.tn;2026-07-13;2026-07-12;Toyota;C-HR;2019.0;117500.0;Automatique;Essence;Tunis;6.0;;;;;;Traction;2026-07-12;33
Mahindra KUV 100 K8 1.2 82cv;32000.0;https://www.automobile.tn/fr/occasion/mahindra/kuv-100/128176;automobile.tn;2026-07-13;2026-07-12;Mahindra;KUV100;2020.0;51000.0;;Essence;Ariana;5.0;;;;;;Traction;2026-07-12;33
Nissan Micra Acenta 1.2 i 12V 80 cv;24500.0;https://www.automobile.tn/fr/occasion/nissan/micra/122948;automobile.tn;2026-07-13;2026-07-12;Nissan;Micra;2016.0;189000.0;;Essence;Ben Arous;5.0;;;;;;Traction;2026-07-12;33
Mercedes-Benz GLE Coupé 350 de 2.0 d 16V 333 EQ Power 4MATIC 9G-TRONIC 197 cv Boîte auto;315000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/gle-coupe/128022;automobile.tn;2026-07-13;2026-07-12;Mercedes-Benz;GLE Coupé;2023.0;59000.0;Automatique;Hybride rechargeable diesel;Sousse;12.0;;;;;;Intégrale;2026-07-12;33
Mercedes-Benz CLA AMG Edition 1 250 e 1.3 i 16V GPF 218 PHEV 160 cv Boîte auto;158000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/cla/128008;automobile.tn;2026-07-13;2026-07-13;Mercedes-Benz;CLA;2025.0;7000.0;Automatique;Hybride rechargeable essence;Ariana;9.0;;;;;;Traction;2026-07-13;32
Ssangyong Tivoli Classy 1.2 T-GDi 12V 2WD 128 cv;68500.0;https://www.automobile.tn/fr/occasion/ssangyong/tivoli/116369;automobile.tn;2026-07-13;2026-07-13;Ssangyong;Tivoli;2021.0;23000.0;;Essence;Tunis;6.0;;;;;;Traction;2026-07-13;32
Mercedes-Benz CLA AMG Edition 1 250 e 1.3 i 16V GPF 218 PHEV 160 cv Boîte auto;176000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/cla/127355;automobile.tn;2026-07-13;2026-07-13;Mercedes-Benz;CLA;2025.0;15788.0;Automatique;Hybride rechargeable essence;Ariana;9.0;;;;;;Traction;2026-07-13;32
Ford Focus Connected Pack Confort 1.0 SCTi 12V EcoBoost 125 cv;57000.0;https://www.automobile.tn/fr/occasion/ford/focus/127569;automobile.tn;2026-07-13;2026-06-19;Ford;Focus;2019.0;139000.0;;Essence;Siliana;6.0;;;;;;Traction;2026-06-19;56
Mercedes-Benz Classe E AMG 180 1.5 Ti 16V 9G-TRONIC 156 cv Boîte auto;120000.0;https://www.automobile.tn/fr/occasion/mercedes-benz/classe-e/126942;automobile.tn;2026-07-13;2026-06-19;Mercedes-Benz;Classe E;2022.0;49000.0;Automatique;Essence;Tunis;12.0;;;;;;Intégrale;2026-06-19;56
KIA Rio 5p EX 1.2 i-CVVT 16V 84 cv;49500.0;https://www.automobile.tn/fr/occasion/kia/rio-5p/127563;automobile.tn;2026-07-13;2026-06-19;Kia;Rio 5p;2020.0;158000.0;;Essence;Tunis;5.0;;;;;;Traction;2026-06-19;56
Honda CR-V 2.4 L CVT 188 cv Boîte auto;68500.0;https://www.automobile.tn/fr/occasion/honda/cr-v/126437;automobile.tn;2026-07-13;2026-06-19;Honda;CR-V;2016.0;120000.0;Automatique;Essence;Ben Arous;11.0;;;;;;Intégrale;2026-06-19;56
Ssangyong Tivoli Confort 160 1.6 e-XGi 16V 2WD 128 cv Boîte auto;44000.0;https://www.automobile.tn/fr/occasion/ssangyong/tivoli/127561;automobile.tn;2026-07-13;2026-06-19;Ssangyong;Tivoli;2016.0;175000.0;Automatique;Essence;Ariana;8.0;;;;;;Traction;2026-06-19;56
Land Rover Defender 110 X-Dynamic SE D200 SD4 2.0 TDCI 4WD 200 cv Boîte auto;340000.0;https://www.automobile.tn/fr/occasion/land-rover/defender/121513;automobile.tn;2026-07-13;2026-06-19;Land Rover;Defender 110;2021.0;97500.0;Automatique;Diesel;Tunis;12.0;;;;;;Intégrale;2026-06-19;56
